Suburb,Type,Price,BuildingArea,YearBuilt
Abbotsford,h,1480000,,
Abbotsford,h,1035000,79,1900
Abbotsford,h,1465000,150,1900
Abbotsford,h,850000,,
Abbotsford,h,1600000,142,2014
Abbotsford,h,941000,,
Abbotsford,h,1876000,210,1910
Abbotsford,h,1636000,107,1890
Abbotsford,u,300000,,
Abbotsford,h,1097000,75,1900
Abbotsford,u,700000,,
Abbotsford,h,1350000,190,2005
Abbotsford,u,750000,94,2009
Abbotsford,h,1172500,,
Abbotsford,u,441000,,
Abbotsford,h,1310000,97,1890
Abbotsford,h,1200000,110,1880
Abbotsford,h,1176500,105,1890
Abbotsford,h,955000,,
Abbotsford,h,890000,73,1985
Abbotsford,h,1330000,135,1900
Abbotsford,t,900000,,2010
Abbotsford,u,1090000,27,
Abbotsford,u,500000,60,1970
Abbotsford,h,1100000,135,2013
Abbotsford,h,1315000,85,1900
Abbotsford,u,426000,,
Abbotsford,h,1447500,174,2012
Abbotsford,u,457000,50,
Abbotsford,h,1135000,128,1920
Abbotsford,h,1542000,,
Abbotsford,h,1290000,18,
Abbotsford,h,1290000,124,1950
Abbotsford,u,470000,50,2013
Abbotsford,h,1180000,91,1900
Abbotsford,h,1195000,128,1998
Abbotsford,h,1012500,82,1900
Abbotsford,h,1030000,81,1930
Airport West,t,840000,225,2016
Airport West,h,730000,145,1965
Airport West,h,770000,145,1965
Airport West,h,603000,84,1950
Airport West,t,700000,134,2009
Airport West,h,600000,116,1980
Airport West,u,500000,86,2011
Airport West,h,720000,,
Airport West,h,785000,127,
Airport West,h,725000,186,1980
Airport West,t,450000,90,2015
Airport West,u,515000,73,2013
Airport West,u,530000,94,2012
Airport West,h,895000,133,1975
Airport West,h,805000,105,1950
Airport West,u,752000,130,1993
Airport West,u,440000,,
Airport West,h,755000,,
Airport West,t,700000,133,2009
Airport West,h,830000,113,1960
Airport West,u,462500,,2003
Airport West,h,670000,,
Airport West,h,675000,100,1975
Airport West,h,1042000,174,1950
Airport West,h,910000,,
Airport West,h,773000,309,1980
Airport West,h,810000,192,1980
Airport West,h,715000,126,1995
Airport West,h,790000,,
Airport West,t,540000,101,2010
Airport West,t,825000,102,1960
Airport West,h,685000,113,1975
Airport West,h,805000,,
Airport West,u,510000,76,
Airport West,h,612000,,
Airport West,h,662000,,
Airport West,h,978000,,
Airport West,h,720000,,
Airport West,h,765000,,
Airport West,h,900000,146,1975
Albert Park,h,1275000,82,1900
Albert Park,h,1455000,,
Albert Park,h,2850000,198,1890
Albert Park,h,1850000,133,1890
Albert Park,h,1436000,81,1900
Albert Park,h,1110000,,1900
Albert Park,h,1550000,,
Albert Park,h,2300000,180,1880
Albert Park,t,1550000,,
Albert Park,h,1800000,159,1996
Albert Park,h,2120000,107,1900
Albert Park,h,1800000,,
Albert Park,h,1800000,122,1900
Albert Park,h,1810000,,
Albert Park,h,2615000,181,1880
Albert Park,h,2100000,,
Albert Park,h,1300000,,
Albert Park,h,1370000,85,2000
Albert Park,h,1000000,,
Albert Park,h,2575000,,
Albert Park,h,1322500,98,1890
Albert Park,h,1562500,83,1890
Albert Park,h,2000000,147,1900
Albert Park,h,1900000,,1900
Albert Park,h,3010000,146,1890
Albert Park,h,2800000,254,1910
Albert Park,u,647000,,
Albert Park,h,2100000,123,1900
Albert Park,h,2000000,131,1890
Albert Park,u,442500,34,1970
Albert Park,h,4735000,207,1910
Albert Park,h,1340000,,
Albert Park,h,1801000,,
Albert Park,h,1532000,,
Albert Park,h,3755000,,
Albert Park,h,2140000,145,1880
Albert Park,h,1750000,,
Albert Park,h,980000,68,1890
Albert Park,h,2030000,,
Albert Park,h,1740000,134,1890
Albert Park,h,2800000,,
Albert Park,h,985000,54,1900
Alphington,h,2000000,263,1930
Alphington,h,1110000,,2013
Alphington,h,1492000,,
Alphington,h,1717500,203,1925
Alphington,h,2840000,165,1910
Alphington,u,525500,60,1960
Alphington,t,805000,140,2004
Alphington,u,465000,,
Alphington,h,2000000,,
Alphington,h,1540000,,
Alphington,u,820000,,
Alphington,h,1830000,112,1970
Alphington,h,2100000,271,2008
Alphington,h,865000,131,2010
Alphington,u,390000,60,1960
Alphington,t,650000,,
Alphington,u,512000,61,1965
Alphington,h,1165000,,
Alphington,h,1900000,272,1930
Alphington,h,1485000,,
Alphington,h,1950000,210,1920
Altona,h,520000,242,2015
Altona,h,1525000,268,2005
Altona,t,720000,125,2013
Altona,h,1120000,120,1930
Altona,h,780000,,
Altona,h,1780000,220,1962
Altona,u,630000,94,1955
Altona,u,406000,,
Altona,h,660000,123,1955
Altona,h,683500,,
Altona,u,580000,93,1988
Altona,h,1335000,22,1953
Altona,t,800000,,1997
Altona,u,510000,76,1990
Altona,h,1070000,,
Altona,u,425000,57,1980
Altona,u,605000,,
Altona,t,705000,152,
Altona,u,391000,65,1965
Altona,u,440000,,
Altona,h,845000,130,1950
Altona,t,743000,176,
Altona,u,730000,141,2014
Altona,h,635000,,1960
Altona,u,620000,,
Altona,u,447000,77,1990
Altona,u,730000,,
Altona,h,678000,87,1950
Altona,u,580000,76,2013
Altona,h,712000,,
Altona,h,840000,136,1965
Altona,h,980000,,
Altona,t,605100,,
Altona,h,880000,,
Altona,u,577000,113,2007
Altona,h,1030000,,
Altona,u,605000,,
Altona,h,753000,,
Altona,h,857000,100,1950
Altona,h,1500000,,
Altona,u,730000,3,2014
Altona,h,900000,,
Altona,h,740000,,
Altona,h,931000,,1970
Altona,h,535600,91,1996
Altona North,h,1085000,251,1965
Altona North,h,781000,117,1970
Altona North,h,750000,,
Altona North,t,421000,77,2009
Altona North,h,1405000,,
Altona North,h,683000,167,1967
Altona North,h,623000,,
Altona North,h,720000,130,2012
Altona North,h,588000,118,1970
Altona North,h,710000,116,1960
Altona North,h,875000,169,1965
Altona North,h,700000,,
Altona North,t,640000,,1965
